timestamp	left_x	left_y	right_x	right_y	target_id	tar_x	tar_y
4069198.812	414.4228516	257.0484619	420.6350098	238.305603	-1	-1	-1
4069199.646	414.1115723	261.2549133	419.3243408	240.6532288	-1	-1	-1
4069200.477	413.8989258	258.0593262	420.0263672	238.826294	-1	-1	-1
4069201.312	414.5771484	259.5524597	420.5429688	240.6460877	-1	-1	-1
4069202.146	413.2196045	258.7148132	419.392334	239.1855774	-1	-1	-1
4069202.977	414.3588867	258.9483032	419.8662109	240.315979	-1	-1	-1
4069203.811	415.0185547	258.0647888	419.8543701	239.9280701	-1	-1	-1
4069204.646	414.949707	258.7651062	420.392334	240.1286011	-1	-1	-1
4069205.477	415.84375	257.9863281	422.5112305	245.5968933	-1	-1	-1
4069206.311	413.4324951	258.846344	420.9082031	242.4950562	-1	-1	-1
4069207.146	414.3483887	259.4876099	420.2456055	243.3552246	-1	-1	-1
4069207.977	412.8013916	258.639801	421.1555176	243.3547974	-1	-1	-1
4069208.811	413.6279297	259.475708	420.6223145	240.2646179	-1	-1	-1
4069209.646	412.8474121	257.5124207	420.9660645	240.2447205	-1	-1	-1
4069210.477	412.3967285	259.8058167	422.145752	243.3380432	-1	-1	-1
4069211.311	413.9451904	257.1959229	420.0863037	241.2737427	-1	-1	-1
4069212.146	414.0552979	258.27948	420.2830811	240.2122498	-1	-1	-1
4069212.977	415.3223877	260.1428528	420.9246826	237.7580872	-1	-1	-1
4069213.811	413.442749	258.8815002	421.5849609	242.7299805	-1	-1	-1
4069214.645	413.2426758	257.6491394	421.2568359	239.6647339	-1	-1	-1
4069215.477	415.0080566	257.6385498	421.6918945	240.8523254	-1	-1	-1
4069216.311	415.185669	257.6412354	420.4259033	239.7540283	-1	-1	-1
4069217.145	415.8057861	257.6292114	420.4682617	242.5212097	-1	-1	-1
4069217.98	415.3977051	258.8116455	420.2121582	243.2827148	-1	-1	-1
4069218.811	414.2285156	258.5401001	421.4105225	240.381134	-1	-1	-1
4069219.645	415.4003906	256.8311157	420.0698242	240.3739929	-1	-1	-1
4069220.48	414.2530518	257.1701965	418.076416	237.9459839	-1	-1	-1
4069221.311	414.8569336	258.322876	419.6651611	240.5896301	-1	-1	-1
4069222.145	412.6394043	257.6664734	420.2453613	241.049408	-1	-1	-1
4069222.979	413.8879395	259.5832825	420.1588135	240.4229736	-1	-1	-1
4069223.811	412.4104004	257.3573914	420.8255615	239.9718628	-1	-1	-1
4069224.645	414.0476074	258.1009522	420.1318359	242.0499878	-1	-1	-1
4069225.479	414.24646	259.4320068	419.7989502	240.6435852	-1	-1	-1
4069226.311	413.8001709	257.5326538	419.7507324	240.1979065	-1	-1	-1
4069227.145	413.1087647	257.6139221	422.6738281	240.7176819	-1	-1	-1
4069227.979	413.5593262	258.9130249	421.189209	237.5816345	-1	-1	-1
4069228.811	412.9221191	254.1809082	423.3515625	238.5528259	-1	-1	-1
4069229.645	416.1268311	255.736145	425.5234375	240.8583679	-1	-1	-1
4069230.479	418.2871094	257.5000916	426.3620606	242.2015381	-1	-1	-1
4069231.311	419.5085449	256.6886597	429.7244873	241.2127686	-1	-1	-1
4069232.145	420.59021	256.0596314	434.0671387	241.8953857	-1	-1	-1
